File,WaveData20240328_004.csv,
1559.356600,6.6290E-006,1559.356600,5.0120E-005,1559.356600,1.3060E-007,1559.356600,7.2460E-008,1559.356600,7.2460E-008
1559.407500,1.0850E-005,1559.407500,5.1020E-005,1559.407500,2.2000E-007,1559.407500,9.8940E-008,1559.407500,9.8940E-008
1559.458400,1.5340E-005,1559.458400,5.1980E-005,1559.458400,3.1820E-007,1559.458400,1.5740E-007,1559.458400,1.5740E-007
1559.509300,1.9380E-005,1559.509300,5.2820E-005,1559.509300,4.0470E-007,1559.509300,2.4360E-007,1559.509300,2.4360E-007
1559.560200,2.2180E-005,1559.560200,5.3860E-005,1559.560200,4.6810E-007,1559.560200,2.4660E-007,1559.560200,2.4660E-007
1559.611100,2.3910E-005,1559.611100,5.4890E-005,1559.611100,5.1840E-007,1559.611100,2.7380E-007,1559.611100,2.7380E-007
1559.662000,2.4940E-005,1559.662000,5.5870E-005,1559.662000,5.3820E-007,1559.662000,3.2930E-007,1559.662000,3.2930E-007
1559.712900,2.5280E-005,1559.712900,5.6830E-005,1559.712900,5.5790E-007,1559.712900,2.9310E-007,1559.712900,2.9310E-007
1559.763800,2.5480E-005,1559.763800,5.7860E-005,1559.763800,5.5360E-007,1559.763800,2.8040E-007,1559.763800,2.8040E-007
1559.814700,2.5490E-005,1559.814700,5.8830E-005,1559.814700,5.6670E-007,1559.814700,3.0840E-007,1559.814700,3.0840E-007
1559.865600,2.5500E-005,1559.865600,5.9830E-005,1559.865600,5.6010E-007,1559.865600,3.1210E-007,1559.865600,3.1210E-007
1559.916500,2.5430E-005,1559.916500,6.0930E-005,1559.916500,5.5690E-007,1559.916500,3.5150E-007,1559.916500,3.5150E-007
1559.967400,2.5340E-005,1559.967400,6.1960E-005,1559.967400,5.5990E-007,1559.967400,2.7090E-007,1559.967400,2.7090E-007
1560.018300,2.5310E-005,1560.018300,6.2880E-005,1560.018300,5.5790E-007,1560.018300,3.3520E-007,1560.018300,3.3520E-007
1560.069200,2.5150E-005,1560.069200,6.3920E-005,1560.069200,5.5400E-007,1560.069200,3.2850E-007,1560.069200,3.2850E-007
1560.120100,2.4860E-005,1560.120100,6.5010E-005,1560.120100,5.5010E-007,1560.120100,3.0260E-007,1560.120100,3.0260E-007
1560.171000,2.4080E-005,1560.171000,6.6020E-005,1560.171000,5.4160E-007,1560.171000,3.0510E-007,1560.171000,3.0510E-007
1560.221900,2.2520E-005,1560.221900,6.7140E-005,1560.221900,5.0630E-007,1560.221900,3.1680E-007,1560.221900,3.1680E-007
1560.272800,1.9990E-005,1560.272800,6.8220E-005,1560.272800,4.5610E-007,1560.272800,3.1460E-007,1560.272800,3.1460E-007
1560.323700,1.6330E-005,1560.323700,6.9280E-005,1560.323700,3.7850E-007,1560.323700,2.2720E-007,1560.323700,2.2720E-007
1560.374600,1.2010E-005,1560.374600,7.0340E-005,1560.374600,2.9050E-007,1560.374600,1.9220E-007,1560.374600,1.9220E-007
1560.425500,8.0970E-006,1560.425500,7.1520E-005,1560.425500,1.9280E-007,1560.425500,1.2680E-007,1560.425500,1.2680E-007
1560.476400,4.8170E-006,1560.476400,7.2640E-005,1560.476400,1.2280E-007,1560.476400,1.0500E-007,1560.476400,1.0500E-007
1560.527300,2.6600E-006,1560.527300,7.3670E-005,1560.527300,6.7230E-008,1560.527300,6.7700E-008,1560.527300,6.7700E-008
1560.578200,1.2920E-006,1560.578200,7.4780E-005,1560.578200,3.2970E-008,1560.578200,6.8180E-008,1560.578200,6.8180E-008
1560.629100,7.0950E-007,1560.629100,7.5890E-005,1560.629100,1.5230E-008,1560.629100,3.0240E-008,1560.629100,3.0240E-008
1560.680000,3.2140E-007,1560.680000,7.7020E-005,1560.680000,1.2700E-008,1560.680000,1.7600E-008,1560.680000,1.7600E-008
1560.730900,2.1500E-007,1560.730900,7.8200E-005,1560.730900,7.8070E-009,1560.730900,3.7200E-009,1560.730900,3.7200E-009
1560.781800,1.8260E-007,1560.781800,7.9350E-005,1560.781800,1.2220E-008,1560.781800,5.2010E-008,1560.781800,5.2010E-008
1560.832700,1.7090E-007,1560.832700,8.0410E-005,1560.832700,5.4540E-009,1560.832700,3.0130E-008,1560.832700,3.0130E-008
1560.883600,1.5860E-007,1560.883600,8.1560E-005,1560.883600,8.7770E-009,1560.883600,9.9240E-009,1560.883600,9.9240E-009
1560.934500,1.7060E-007,1560.934500,8.2760E-005,1560.934500,8.9670E-009,1560.934500,2.0460E-008,1560.934500,2.0460E-008
1560.985400,1.4440E-007,1560.985400,8.3980E-005,1560.985400,6.7710E-009,1560.985400,1.3800E-008,1560.985400,1.3800E-008
1561.036300,1.3370E-007,1561.036300,8.5070E-005,1561.036300,1.3300E-008,1561.036300,1.0250E-008,1561.036300,1.0250E-008
1561.087200,1.2600E-007,1561.087200,8.6240E-005,1561.087200,6.8150E-009,1561.087200,1.2180E-008,1561.087200,1.2180E-008
1561.138100,1.4620E-007,1561.138100,8.7330E-005,1561.138100,8.2040E-009,1561.138100,4.7930E-008,1561.138100,4.7930E-008
1561.189000,1.4440E-007,1561.189000,8.8540E-005,1561.189000,9.3310E-009,1561.189000,1.2750E-008,1561.189000,1.2750E-008
1561.239900,1.3290E-007,1561.239900,8.9720E-005,1561.239900,9.3510E-009,1561.239900,4.8830E-008,1561.239900,4.8830E-008
1561.290800,1.4660E-007,1561.290800,9.0900E-005,1561.290800,8.6800E-009,1561.290800,1.1550E-008,1561.290800,1.1550E-008
1561.341700,1.2810E-007,1561.341700,9.2000E-005,1561.341700,7.6980E-009,1561.341700,2.6370E-008,1561.341700,2.6370E-008
1561.392600,1.1130E-007,1561.392600,9.3270E-005,1561.392600,5.2850E-009,1561.392600,4.3090E-009,1561.392600,4.3090E-009
1561.443500,1.1270E-007,1561.443500,9.4550E-005,1561.443500,6.4760E-009,1561.443500,9.1590E-009,1561.443500,9.1590E-009
1561.494400,9.9790E-008,1561.494400,9.5800E-005,1561.494400,1.1220E-008,1561.494400,2.3480E-008,1561.494400,2.3480E-008
1561.545300,1.2170E-007,1561.545300,9.6960E-005,1561.545300,9.0190E-009,1561.545300,2.0350E-008,1561.545300,2.0350E-008
1561.596200,1.0260E-007,1561.596200,9.8100E-005,1561.596200,1.2360E-008,1561.596200,2.0710E-008,1561.596200,2.0710E-008
1561.647100,1.0350E-007,1561.647100,9.9280E-005,1561.647100,8.5250E-009,1561.647100,1.3040E-008,1561.647100,1.3040E-008
1561.698000,1.1560E-007,1561.698000,1.0050E-004,1561.698000,1.1310E-008,1561.698000,2.5400E-008,1561.698000,2.5400E-008
1561.748900,1.2100E-007,1561.748900,1.0170E-004,1561.748900,8.0870E-009,1561.748900,3.8690E-008,1561.748900,3.8690E-008
1561.799800,1.1860E-007,1561.799800,1.0290E-004,1561.799800,8.5110E-009,1561.799800,9.2750E-009,1561.799800,9.2750E-009
1561.850700,9.8150E-008,1561.850700,1.0420E-004,1561.850700,4.0600E-009,1561.850700,4.5810E-008,1561.850700,4.5810E-008
1561.901600,1.1110E-007,1561.901600,1.0540E-004,1561.901600,1.2660E-008,1561.901600,3.0530E-009,1561.901600,3.0530E-009
1561.952500,9.0170E-008,1561.952500,1.0650E-004,1561.952500,8.4950E-009,1561.952500,1.4810E-008,1561.952500,1.4810E-008
1562.003400,1.0870E-007,1562.003400,1.0780E-004,1562.003400,1.1100E-008,1562.003400,1.9920E-008,1562.003400,1.9920E-008
1562.054300,1.0150E-007,1562.054300,1.0900E-004,1562.054300,5.4040E-009,1562.054300,9.3670E-009,1562.054300,9.3670E-009
1562.105200,9.2320E-008,1562.105200,1.1030E-004,1562.105200,1.4410E-008,1562.105200,2.1200E-008,1562.105200,2.1200E-008
1562.156100,9.2460E-008,1562.156100,1.1140E-004,1562.156100,1.0200E-008,1562.156100,1.4620E-008,1562.156100,1.4620E-008
1562.207000,9.1620E-008,1562.207000,1.1280E-004,1562.207000,9.9930E-009,1562.207000,3.8320E-008,1562.207000,3.8320E-008
1562.257900,1.0270E-007,1562.257900,1.1400E-004,1562.257900,8.2230E-009,1562.257900,2.7030E-008,1562.257900,2.7030E-008
1562.308800,6.7170E-008,1562.308800,1.1530E-004,1562.308800,1.0070E-008,1562.308800,2.2770E-008,1562.308800,2.2770E-008
1562.359700,1.0990E-007,1562.359700,1.1670E-004,1562.359700,9.9280E-009,1562.359700,5.4520E-008,1562.359700,5.4520E-008
1562.410600,8.4450E-008,1562.410600,1.1790E-004,1562.410600,5.6070E-009,1562.410600,2.8750E-008,1562.410600,2.8750E-008
1562.461500,7.6450E-008,1562.461500,1.1910E-004,1562.461500,1.1200E-008,1562.461500,1.0980E-008,1562.461500,1.0980E-008
1562.512400,8.1710E-008,1562.512400,1.2030E-004,1562.512400,7.5950E-009,1562.512400,5.1250E-008,1562.512400,5.1250E-008
1562.563300,9.8660E-008,1562.563300,1.2160E-004,1562.563300,1.3780E-008,1562.563300,2.2960E-008,1562.563300,2.2960E-008
1562.614200,9.0330E-008,1562.614200,1.2290E-004,1562.614200,1.1390E-008,1562.614200,1.3500E-008,1562.614200,1.3500E-008
1562.665100,8.4220E-008,1562.665100,1.2410E-004,1562.665100,7.3730E-009,1562.665100,2.2670E-008,1562.665100,2.2670E-008
1562.716000,1.0170E-007,1562.716000,1.2540E-004,1562.716000,8.6060E-009,1562.716000,2.2690E-008,1562.716000,2.2690E-008
1562.766900,8.7590E-008,1562.766900,1.2680E-004,1562.766900,8.4930E-009,1562.766900,1.9130E-008,1562.766900,1.9130E-008
1562.817800,1.0750E-007,1562.817800,1.2800E-004,1562.817800,9.4310E-009,1562.817800,1.5910E-008,1562.817800,1.5910E-008
1562.868700,9.7900E-008,1562.868700,1.2940E-004,1562.868700,1.1010E-008,1562.868700,1.8580E-008,1562.868700,1.8580E-008
1562.919600,1.1010E-007,1562.919600,1.3050E-004,1562.919600,8.2290E-009,1562.919600,1.7730E-008,1562.919600,1.7730E-008
1562.970500,1.4540E-007,1562.970500,1.3180E-004,1562.970500,1.3550E-008,1562.970500,2.1170E-008,1562.970500,2.1170E-008
1563.021400,1.2360E-007,1563.021400,1.3310E-004,1563.021400,1.2360E-008,1563.021400,3.8340E-008,1563.021400,3.8340E-008
1563.072300,1.3940E-007,1563.072300,1.3440E-004,1563.072300,1.1320E-008,1563.072300,5.2750E-008,1563.072300,5.2750E-008
1563.123200,1.6190E-007,1563.123200,1.3570E-004,1563.123200,1.1640E-008,1563.123200,-6.5400E-009,1563.123200,-6.5400E-009
1563.174100,1.4600E-007,1563.174100,1.3690E-004,1563.174100,1.2360E-008,1563.174100,1.9920E-008,1563.174100,1.9920E-008
1563.225000,1.3750E-007,1563.225000,1.3820E-004,1563.225000,8.6420E-009,1563.225000,2.6430E-008,1563.225000,2.6430E-008
1563.275900,1.5770E-007,1563.275900,1.3950E-004,1563.275900,1.1330E-008,1563.275900,3.9040E-008,1563.275900,3.9040E-008
1563.326800,1.9150E-007,1563.326800,1.4080E-004,1563.326800,1.4110E-008,1563.326800,1.8200E-008,1563.326800,1.8200E-008
1563.377700,1.6160E-007,1563.377700,1.4200E-004,1563.377700,1.3610E-008,1563.377700,1.8150E-008,1563.377700,1.8150E-008
1563.428600,1.7250E-007,1563.428600,1.4320E-004,1563.428600,1.5200E-008,1563.428600,2.0560E-008,1563.428600,2.0560E-008
1563.479500,1.9830E-007,1563.479500,1.4450E-004,1563.479500,1.2180E-008,1563.479500,2.6310E-008,1563.479500,2.6310E-008
1563.530400,1.7450E-007,1563.530400,1.4580E-004,1563.530400,1.5690E-008,1563.530400,1.6700E-008,1563.530400,1.6700E-008
1563.581300,1.7510E-007,1563.581300,1.4710E-004,1563.581300,1.4370E-008,1563.581300,1.9650E-008,1563.581300,1.9650E-008
1563.632200,1.9220E-007,1563.632200,1.4850E-004,1563.632200,1.1940E-008,1563.632200,2.4150E-008,1563.632200,2.4150E-008
1563.683100,1.7370E-007,1563.683100,1.4970E-004,1563.683100,1.5830E-008,1563.683100,2.8870E-008,1563.683100,2.8870E-008
1563.734000,1.8710E-007,1563.734000,1.5100E-004,1563.734000,1.0600E-008,1563.734000,2.0260E-008,1563.734000,2.0260E-008
1563.784900,2.0190E-007,1563.784900,1.5220E-004,1563.784900,1.5420E-008,1563.784900,2.5270E-008,1563.784900,2.5270E-008
1563.835800,1.9890E-007,1563.835800,1.5350E-004,1563.835800,1.1510E-008,1563.835800,1.2030E-008,1563.835800,1.2030E-008
1563.886700,1.5000E-007,1563.886700,1.5480E-004,1563.886700,1.3520E-008,1563.886700,7.2880E-009,1563.886700,7.2880E-009
1563.937600,2.2300E-007,1563.937600,1.5620E-004,1563.937600,1.1260E-008,1563.937600,3.8090E-008,1563.937600,3.8090E-008
1563.988500,1.6630E-007,1563.988500,1.5730E-004,1563.988500,1.2040E-008,1563.988500,2.8880E-008,1563.988500,2.8880E-008
1564.039400,1.7280E-007,1564.039400,1.5860E-004,1564.039400,1.3560E-008,1564.039400,2.1980E-008,1564.039400,2.1980E-008
1564.090300,1.4820E-007,1564.090300,1.5990E-004,1564.090300,1.3330E-008,1564.090300,1.3760E-008,1564.090300,1.3760E-008
1564.141200,1.4340E-007,1564.141200,1.6130E-004,1564.141200,1.1020E-008,1564.141200,1.3700E-008,1564.141200,1.3700E-008
1564.192100,1.6770E-007,1564.192100,1.6240E-004,1564.192100,1.4850E-008,1564.192100,2.2600E-008,1564.192100,2.2600E-008
1564.243000,1.2950E-007,1564.243000,1.6380E-004,1564.243000,1.5190E-008,1564.243000,2.2370E-008,1564.243000,2.2370E-008
1564.293900,1.6340E-007,1564.293900,1.6500E-004,1564.293900,1.8820E-008,1564.293900,2.8510E-008,1564.293900,2.8510E-008
1564.344800,1.2940E-007,1564.344800,1.6650E-004,1564.344800,1.7010E-008,1564.344800,8.6640E-009,1564.344800,8.6640E-009
1564.395700,1.2410E-007,1564.395700,1.6770E-004,1564.395700,1.2340E-008,1564.395700,2.6420E-008,1564.395700,2.6420E-008
1564.446600,1.5370E-007,1564.446600,1.6900E-004,1564.446600,1.3590E-008,1564.446600,2.2580E-008,1564.446600,2.2580E-008
1564.497500,1.6110E-007,1564.497500,1.7010E-004,1564.497500,1.3980E-008,1564.497500,3.6750E-008,1564.497500,3.6750E-008
1564.548400,1.3350E-007,1564.548400,1.7150E-004,1564.548400,1.4870E-008,1564.548400,6.7960E-009,1564.548400,6.7960E-009
1564.599300,1.0800E-007,1564.599300,1.7280E-004,1564.599300,1.2990E-008,1564.599300,2.6970E-008,1564.599300,2.6970E-008
1564.650200,1.0180E-007,1564.650200,1.7420E-004,1564.650200,1.5380E-008,1564.650200,1.9710E-008,1564.650200,1.9710E-008
1564.701100,1.2890E-007,1564.701100,1.7530E-004,1564.701100,2.3850E-008,1564.701100,3.2620E-008,1564.701100,3.2620E-008
1564.752000,1.2600E-007,1564.752000,1.7690E-004,1564.752000,1.4130E-008,1564.752000,-4.4800E-009,1564.752000,-4.4800E-009
1564.802900,1.1650E-007,1564.802900,1.7790E-004,1564.802900,1.3210E-008,1564.802900,8.6720E-009,1564.802900,8.6720E-009
1564.853800,1.5270E-007,1564.853800,1.7940E-004,1564.853800,1.3840E-008,1564.853800,2.3410E-008,1564.853800,2.3410E-008
1564.904700,1.1020E-007,1564.904700,1.8060E-004,1564.904700,1.6270E-008,1564.904700,1.9030E-008,1564.904700,1.9030E-008
1564.955600,1.1300E-007,1564.955600,1.8200E-004,1564.955600,1.4950E-008,1564.955600,2.2540E-008,1564.955600,2.2540E-008
1565.006500,1.2240E-007,1565.006500,1.8310E-004,1565.006500,1.2990E-008,1565.006500,3.2370E-008,1565.006500,3.2370E-008
1565.057400,1.2590E-007,1565.057400,1.8430E-004,1565.057400,1.6300E-008,1565.057400,2.6280E-008,1565.057400,2.6280E-008
1565.108300,1.3290E-007,1565.108300,1.8550E-004,1565.108300,1.8880E-008,1565.108300,1.8590E-008,1565.108300,1.8590E-008
1565.159200,1.3650E-007,1565.159200,1.8720E-004,1565.159200,1.4770E-008,1565.159200,1.9810E-008,1565.159200,1.9810E-008
1565.210100,1.4450E-007,1565.210100,1.8830E-004,1565.210100,1.9000E-008,1565.210100,2.4920E-008,1565.210100,2.4920E-008
1565.261000,1.2340E-007,1565.261000,1.8960E-004,1565.261000,1.5760E-008,1565.261000,2.8390E-008,1565.261000,2.8390E-008
1565.311900,1.3110E-007,1565.311900,1.9080E-004,1565.311900,1.5360E-008,1565.311900,3.0180E-008,1565.311900,3.0180E-008
1565.362800,1.3590E-007,1565.362800,1.9210E-004,1565.362800,2.2200E-008,1565.362800,2.4400E-008,1565.362800,2.4400E-008
1565.413700,1.4520E-007,1565.413700,1.9330E-004,1565.413700,1.6280E-008,1565.413700,3.2640E-008,1565.413700,3.2640E-008
1565.464600,1.4270E-007,1565.464600,1.9460E-004,1565.464600,1.9950E-008,1565.464600,2.3370E-008,1565.464600,2.3370E-008
1565.515500,1.1520E-007,1565.515500,1.9580E-004,1565.515500,1.2980E-008,1565.515500,2.6560E-008,1565.515500,2.6560E-008
1565.566400,1.2630E-007,1565.566400,1.9720E-004,1565.566400,1.0940E-008,1565.566400,2.2780E-008,1565.566400,2.2780E-008
1565.617300,1.6460E-007,1565.617300,1.9840E-004,1565.617300,2.5560E-008,1565.617300,3.0160E-008,1565.617300,3.0160E-008
1565.668200,1.3640E-007,1565.668200,1.9960E-004,1565.668200,1.4130E-008,1565.668200,1.3860E-008,1565.668200,1.3860E-008
1565.719100,1.3010E-007,1565.719100,2.0090E-004,1565.719100,2.7480E-008,1565.719100,3.0250E-008,1565.719100,3.0250E-008
1565.770000,1.2210E-007,1565.770000,2.0200E-004,1565.770000,1.7450E-008,1565.770000,2.1110E-008,1565.770000,2.1110E-008
1565.820900,1.1830E-007,1565.820900,2.0320E-004,1565.820900,1.2500E-008,1565.820900,1.5070E-008,1565.820900,1.5070E-008
1565.871800,1.1480E-007,1565.871800,2.0450E-004,1565.871800,2.0110E-008,1565.871800,3.6830E-008,1565.871800,3.6830E-008
1565.922700,1.1710E-007,1565.922700,2.0570E-004,1565.922700,1.6290E-008,1565.922700,3.0500E-008,1565.922700,3.0500E-008
1565.973600,1.2680E-007,1565.973600,2.0700E-004,1565.973600,1.6990E-008,1565.973600,2.6540E-008,1565.973600,2.6540E-008
1566.024500,1.3020E-007,1566.024500,2.0820E-004,1566.024500,1.0990E-008,1566.024500,1.3700E-008,1566.024500,1.3700E-008
1566.075400,1.2130E-007,1566.075400,2.0930E-004,1566.075400,2.2500E-008,1566.075400,3.3250E-008,1566.075400,3.3250E-008
1566.126300,1.1600E-007,1566.126300,2.1050E-004,1566.126300,1.9270E-008,1566.126300,1.5980E-008,1566.126300,1.5980E-008
1566.177200,1.2170E-007,1566.177200,2.1180E-004,1566.177200,1.6270E-008,1566.177200,1.8880E-008,1566.177200,1.8880E-008
1566.228100,1.2640E-007,1566.228100,2.1300E-004,1566.228100,1.8610E-008,1566.228100,2.0540E-008,1566.228100,2.0540E-008
1566.279000,1.0950E-007,1566.279000,2.1420E-004,1566.279000,1.4140E-008,1566.279000,2.8790E-008,1566.279000,2.8790E-008
1566.329900,1.1660E-007,1566.329900,2.1520E-004,1566.329900,2.3990E-008,1566.329900,1.2610E-008,1566.329900,1.2610E-008
1566.380800,1.3730E-007,1566.380800,2.1650E-004,1566.380800,2.1750E-008,1566.380800,4.3780E-008,1566.380800,4.3780E-008
1566.431700,1.0530E-007,1566.431700,2.1770E-004,1566.431700,1.3800E-008,1566.431700,2.1680E-008,1566.431700,2.1680E-008
1566.482600,1.1690E-007,1566.482600,2.1900E-004,1566.482600,1.7360E-008,1566.482600,1.0080E-008,1566.482600,1.0080E-008
1566.533500,1.2460E-007,1566.533500,2.2000E-004,1566.533500,1.7950E-008,1566.533500,3.1120E-008,1566.533500,3.1120E-008
1566.584400,1.1940E-007,1566.584400,2.2120E-004,1566.584400,1.8970E-008,1566.584400,2.9200E-008,1566.584400,2.9200E-008
1566.635300,1.2960E-007,1566.635300,2.2220E-004,1566.635300,1.2870E-008,1566.635300,2.5830E-008,1566.635300,2.5830E-008
1566.686200,1.4010E-007,1566.686200,2.2340E-004,1566.686200,2.9660E-008,1566.686200,3.2050E-008,1566.686200,3.2050E-008
1566.737100,1.3350E-007,1566.737100,2.2440E-004,1566.737100,1.7670E-008,1566.737100,3.0590E-008,1566.737100,3.0590E-008
1566.788000,1.2740E-007,1566.788000,2.2570E-004,1566.788000,2.2890E-008,1566.788000,1.7530E-008,1566.788000,1.7530E-008
1566.838900,1.5310E-007,1566.838900,2.2670E-004,1566.838900,1.7140E-008,1566.838900,2.8220E-008,1566.838900,2.8220E-008
1566.889800,1.5880E-007,1566.889800,2.2790E-004,1566.889800,1.6470E-008,1566.889800,3.1600E-008,1566.889800,3.1600E-008
1566.940700,1.6250E-007,1566.940700,2.2910E-004,1566.940700,2.0490E-008,1566.940700,3.9280E-008,1566.940700,3.9280E-008
1566.991600,1.5730E-007,1566.991600,2.3010E-004,1566.991600,1.9640E-008,1566.991600,2.1950E-008,1566.991600,2.1950E-008
1567.042500,1.8780E-007,1567.042500,2.3140E-004,1567.042500,2.1090E-008,1567.042500,2.9620E-008,1567.042500,2.9620E-008
1567.093400,1.7360E-007,1567.093400,2.3240E-004,1567.093400,2.6680E-008,1567.093400,2.2610E-008,1567.093400,2.2610E-008
1567.144300,1.7130E-007,1567.144300,2.3350E-004,1567.144300,2.2870E-008,1567.144300,3.6460E-008,1567.144300,3.6460E-008
1567.195200,1.4170E-007,1567.195200,2.3460E-004,1567.195200,2.1500E-008,1567.195200,2.3990E-008,1567.195200,2.3990E-008
1567.246100,1.6150E-007,1567.246100,2.3570E-004,1567.246100,1.9310E-008,1567.246100,2.5810E-008,1567.246100,2.5810E-008
1567.297000,1.7130E-007,1567.297000,2.3700E-004,1567.297000,1.8370E-008,1567.297000,2.2040E-008,1567.297000,2.2040E-008
1567.347900,1.6470E-007,1567.347900,2.3800E-004,1567.347900,2.5060E-008,1567.347900,3.1940E-008,1567.347900,3.1940E-008
1567.398800,1.3890E-007,1567.398800,2.3900E-004,1567.398800,2.4410E-008,1567.398800,1.6300E-008,1567.398800,1.6300E-008
1567.449700,1.6460E-007,1567.449700,2.4010E-004,1567.449700,1.5980E-008,1567.449700,3.4790E-008,1567.449700,3.4790E-008
1567.500600,1.6170E-007,1567.500600,2.4120E-004,1567.500600,1.7060E-008,1567.500600,3.3020E-008,1567.500600,3.3020E-008
1567.551500,1.7010E-007,1567.551500,2.4240E-004,1567.551500,1.6870E-008,1567.551500,9.5560E-009,1567.551500,9.5560E-009
1567.602400,1.8660E-007,1567.602400,2.4340E-004,1567.602400,2.3960E-008,1567.602400,3.6540E-008,1567.602400,3.6540E-008
1567.653300,1.8530E-007,1567.653300,2.4450E-004,1567.653300,2.4750E-008,1567.653300,2.2910E-008,1567.653300,2.2910E-008
1567.704200,1.9350E-007,1567.704200,2.4550E-004,1567.704200,2.4900E-008,1567.704200,2.7460E-008,1567.704200,2.7460E-008
1567.755100,1.7890E-007,1567.755100,2.4670E-004,1567.755100,2.5280E-008,1567.755100,3.4450E-008,1567.755100,3.4450E-008
1567.806000,1.8060E-007,1567.806000,2.4770E-004,1567.806000,2.2830E-008,1567.806000,2.4970E-008,1567.806000,2.4970E-008
1567.856900,1.4430E-007,1567.856900,2.4870E-004,1567.856900,2.1170E-008,1567.856900,9.1010E-009,1567.856900,9.1010E-009
1567.907800,1.3090E-007,1567.907800,2.4960E-004,1567.907800,2.5350E-008,1567.907800,5.5290E-008,1567.907800,5.5290E-008
1567.958700,1.5540E-007,1567.958700,2.5070E-004,1567.958700,2.2610E-008,1567.958700,2.7490E-008,1567.958700,2.7490E-008
1568.009600,1.4950E-007,1568.009600,2.5170E-004,1568.009600,2.5860E-008,1568.009600,2.1210E-008,1568.009600,2.1210E-008
1568.060500,2.1670E-007,1568.060500,2.5280E-004,1568.060500,2.1740E-008,1568.060500,4.0810E-008,1568.060500,4.0810E-008
1568.111400,1.2580E-007,1568.111400,2.5370E-004,1568.111400,2.5830E-008,1568.111400,2.3740E-008,1568.111400,2.3740E-008
1568.162300,1.5420E-007,1568.162300,2.5460E-004,1568.162300,1.8970E-008,1568.162300,2.3240E-008,1568.162300,2.3240E-008
1568.213200,1.5250E-007,1568.213200,2.5550E-004,1568.213200,2.5110E-008,1568.213200,4.2000E-008,1568.213200,4.2000E-008
1568.264100,1.6540E-007,1568.264100,2.5680E-004,1568.264100,2.3180E-008,1568.264100,2.1820E-008,1568.264100,2.1820E-008
